,Name,Address,City,Zip,State
69,"QTS is a leading provider of data center solutions across a diverse footprint spanning more than 6M SF of owned mega scale data center space to more than 1,100 leading Hyperscale technology companies, enterprises, and government entities.",180 Peachtree Street,Atlanta,30303,Georgia
70,"TA Realty's ATL03 data center campus, located in Union City, Georgia, is set to become a significant addition to the region's data infrastructure. The campus will feature four state-of-the-art data center buildings, each spanning 250,000 square feet, and is scheduled for completion in 2030.",270 Peachtree St,Atlanta,30303,Georgia
71,"The Edged ATL2 data center is a beacon of modern IT infrastructure, situated in the heart of Atlanta, Georgia.",1800 Tilford Yard,Atlanta,30318,Georgia
72,"The Edged Atlanta Campus is a cutting-edge data center infrastructure, meticulously designed to cater to the burgeoning needs of cloud services and data storage, encompassing three architecturally advanced buildings, each embodying the pinnacle of sustainable design and energy efficiency.",1033 Jefferson St,Atlanta,30319,Georgia
73,T5 Data Centers - T5@Augusta,2865 Gordon Hwy,Augusta,30909,Georgia
74,101 Aquila Way,101 Aquila Way,Austell,30122,Georgia
75,"Serverfarm is planning to develop a new natural gas-powered data center in Covington, Georgia. The project involves converting a 498,960-square-foot warehouse into a state-of-the-art data center.",Interstate 75 & Highfalls Park Rd,Barnesville,30204,Georgia
76,FOGO Solutions,340 Tom Reeve Drive,Carrollton,30117,Georgia
77,"The Wallace Jackson Data Center Campus in Griffin, Georgia, is a proposed large-scale development spanning 189 acres, potentially featuring ten buildings totaling up to 4.986 million sq ft, with full build-out anticipated by 2035.",151 Etowah Ridge Trail SE,Cartersville,30120,Georgia
78,2380 Godby Rd,2380 Godby Rd,College Park,30349,Georgia
79,4311 Best Rd,4311 Best Rd,College Park,30337,Georgia
80,"Amazon Data Services has purchased approximately 1,000 acres in Barnesville, Georgia, located 55 miles south of Atlanta. The acquisition, valued at $270 million, secures land on the west side of Interstate 75 near Exit 198, formerly part of the Legacy 75 Trade Center.",4380 Stacks Rd,College Park,30349,Georgia
81,"The Edged ATL1 data center is a beacon of modern IT infrastructure, situated in the heart of Atlanta, Georgia.",1800 Phoenix Blvd,College Park,30349,Georgia
82,8 Corporate Ridge pkwy,8 Corporate Ridge pkwy,Columbus,31907,Georgia
83,1726 Farmer Road,1726 Farmer Road,Conyers,30012,Georgia
84,Project Splice,Old Nesbit Road & 13th Ave,Cordele,31015,Georgia
